1934,"Fox Studio Sound Department, E. H. Hansen, Sound Director"
1934,Robert Riskin
1934,"Frances Goodrich, Albert Hackett [Second]"
1934,Ben Hecht [Third]
1934,Mauri Grashin [Third]
1934,Arthur Caesar
1934,Norman Krasna [Second]
1934,
1935,Mutiny on the Bounty
1935,The Informer
1935,Black Fury
1935,Escape Me Never
1935,Private Worlds
1935,Dangerous
1935,Alice Adams
1935,Becky Sharp
1935,The Dark Angel
1935,Richard Day
1935,"Hans Dreier, Roland Anderson [Third]"
1935,"Van Nest Polglase, Carroll Clark [Second]"
1935,Joseph Newman [Third]
1935,Eric Stacey
1935,"Clem Beauchamp, Paul Wing"
1935,Sherry Shourds [Second]
1935,Ray June
1935,Victor Milner [Third]
1935,Gregg Toland [Second]
1935,Hal Mohr
1935,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third]
1935,Latin from Manhattan number from Go into Your Dance
1935,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess
1935,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
1935,Lovely Lady and Too Good To Be True numbers from King of Burlesque
1935,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]"
1935,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses
1935,Hall of Kings number from She
1935,Michael Curtiz [Second]
1935,John Ford
1935,Henry Hathaway [Third]
1935,Frank Lloyd
1935,Robert J. Kern
1935,George Hively [Third]
1935,Barbara McLean
1935,Ellsworth Hoagland
1935,Ralph Dawson
1935,Margaret Booth [Second]
1935,"Warner Brothers-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold) [Third]"
1935,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1935,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart) [Second]"
1935,"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)"
1935,Music and Lyrics by Irving Berlin [Second]
1935,Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh [Third]
1935,Music by Harry Warren; Lyrics by Al Dubin
1935,RKO Radio
1935,Metro-Goldwyn-Mayer
1935,Cosmopolitan [Third]
1935,RKO Radio [Second]
1935,20th Century
1935,Paramount
1935,Warner Brothers
1935,Harman-Ising [Third]
1935,"Walt Disney, Producer"
1935,"Walt Disney, Producer [Second]"
1935,"Jack Chertok, Producer"
1935,"Jules White, Producer [Second]"
1935,"Hal Roach, Producer [Third]"
1935,"Pete Smith, Producer [tied for 2nd]"
1935,Universal [tied for 2nd]
1935,Gaumont British and Skibo Productions
1935,"Universal Studio Sound Department, Gilbert Kurland, Sound Director"
