1931/1932,Actress,1,Helen Hayes
1931/1932,Art Direction,,À Nous la Liberté 
1931/1932,Art Direction,,Arrowsmith 
1931/1932,Art Direction,1,Transatlantic 
1931/1932,Cinematography,,Arrowsmith 
1931/1932,Cinematography,,Dr. Jekyll and Mr. Hyde 
1931/1932,Cinematography,1,Shanghai Express 
1931/1932,Directing,1,Bad Girl 
1931/1932,Directing,,The Champ 
1931/1932,Directing,,Shanghai Express 
1931/1932,Outstanding Production,,Arrowsmith 
1931/1932,Outstanding Production,,Bad Girl 
1931/1932,Outstanding Production,,The Champ 
1931/1932,Outstanding Production,,Five Star Final 
1931/1932,Outstanding Production,1,Grand Hotel 
1931/1932,Outstanding Production,,One Hour with You 
1931/1932,Outstanding Production,,Shanghai Express 
1931/1932,Outstanding Production,,The Smiling Lieutenant 
1931/1932,Short Subject (Cartoon),1,Flowers and Trees 
1931/1932,Short Subject (Cartoon),,It's Got Me Again 
1931/1932,Short Subject (Cartoon),,Mickey's Orphans 
1931/1932,Short Subject (Comedy),,The Loud Mouth 
1931/1932,Short Subject (Comedy),1,The Music Box 
1931/1932,Short Subject (Comedy),,Scratch-As-Catch-Can 
1931/1932,Short Subject (Comedy),,Stout Hearts and Willing Hands 
1931/1932,Short Subject (Novelty),,Screen Souvenirs 
1931/1932,Short Subject (Novelty),,Swing High 
1931/1932,Short Subject (Novelty),1,Wrestling Swordfish 
1931/1932,Sound Recording,,Metro-Goldwyn-Mayer Studio Sound Department
1931/1932,Sound Recording,1,Paramount Publix Studio Sound Department
1931/1932,Sound Recording,,RKO Radio Studio Sound Department
1931/1932,Sound Recording,,Warner Brothers-First National Studio Sound Department
1931/1932,Writing (Adaptation),,Arrowsmith 
1931/1932,Writing (Adaptation),1,Bad Girl 
1931/1932,Writing (Adaptation),,Dr. Jekyll and Mr. Hyde 
1931/1932,Writing (Original Story),1,The Champ 
1931/1932,Writing (Original Story),,Lady and Gent 
1931/1932,Writing (Original Story),,The Star Witness 
1931/1932,Writing (Original Story),,What Price Hollywood? 
1931/1932,Special Award,1,Walt Disney
1932/1933,Actor,,Leslie Howard
1932/1933,Actor,1,Charles Laughton
1932/1933,Actor,,Paul Muni
1932/1933,Actress,1,Katharine Hepburn
1932/1933,Actress,,May Robson
1932/1933,Actress,,Diana Wynyard
1932/1933,Art Direction,1,Cavalcade 
1932/1933,Art Direction,,A Farewell to Arms 
1932/1933,Art Direction,,When Ladies Meet 
1932/1933,Assistant Director,,Percy Ikerd (Fox)
1932/1933,Assistant Director,1,William Tummel (Fox)
1932/1933,Assistant Director,1,Charles Dorian (Metro-Goldwyn-Mayer)
1932/1933,Assistant Director,,Bunny Dull (Metro-Goldwyn-Mayer)
1932/1933,Assistant Director,,John S. Waters (Metro-Goldwyn-Mayer)
1932/1933,Assistant Director,1,Charles Barton (Paramount)
1932/1933,Assistant Director,,Sidney S. Brod (Paramount)
1932/1933,Assistant Director,,Arthur Jacobson (Paramount)
1932/1933,Assistant Director,,Eddie Killey (RKO Radio)
1932/1933,Assistant Director,1,Dewey Starkey (RKO Radio)
1932/1933,Assistant Director,1,Fred Fox (United Artists)
1932/1933,Assistant Director,,Benjamin Silvey (United Artists)
1932/1933,Assistant Director,1,Scott Beal (Universal)
1932/1933,Assistant Director,,Joe McDonough (Universal)
1932/1933,Assistant Director,,W. J. Reiter (Universal)
1932/1933,Assistant Director,,Al Alborn (Warner Brothers)
1932/1933,Assistant Director,1,Gordon Hollingshead (Warner Brothers)
1932/1933,Assistant Director,,Frank X. Shaw (Warner Brothers)
1932/1933,Cinematography,1,A Farewell to Arms 
1932/1933,Cinematography,,Reunion in Vienna 
1932/1933,Cinematography,,The Sign of the Cross 
1932/1933,Directing,1,Cavalcade 
1932/1933,Directing,,Lady for a Day 
1932/1933,Directing,,Little Women 
1932/1933,Outstanding Production,1,Cavalcade 
1932/1933,Outstanding Production,,A Farewell to Arms 
1932/1933,Outstanding Production,,42nd Street 
1932/1933,Outstanding Production,,I Am a Fugitive from a Chain Gang 
1932/1933,Outstanding Production,,Lady for a Day 
1932/1933,Outstanding Production,,Little Women 
1932/1933,Outstanding Production,,The Private Life of Henry VIII 
1932/1933,Outstanding Production,,She Done Him Wrong 
1932/1933,Outstanding Production,,Smilin' Through 
1932/1933,Outstanding Production,,State Fair 
1932/1933,Short Subject (Cartoon),,Building a Building 
1932/1933,Short Subject (Cartoon),,The Merry Old Soul 
1932/1933,Short Subject (Cartoon),1,The Three Little Pigs 
1932/1933,Short Subject (Comedy),,Mister Mugg 
1932/1933,Short Subject (Comedy),,A Preferred List 
1932/1933,Short Subject (Comedy),1,So This Is Harris 
1932/1933,Short Subject (Novelty),1,Krakatoa 
1932/1933,Short Subject (Novelty),,Menu 
1932/1933,Short Subject (Novelty),,The Sea 
1932/1933,Sound Recording,1,A Farewell to Arms 
1932/1933,Sound Recording,,42nd Street 
