1932/1933,She Done Him Wrong ,Paramount
1932/1933,Smilin' Through ,Metro-Goldwyn-Mayer
1932/1933,State Fair ,Fox
1932/1933,Building a Building ,"Walt Disney, Producer [Second]"
1932/1933,The Merry Old Soul ,"Walter Lantz, Producer [Third]"
1932/1933,The Three Little Pigs ,"Walt Disney, Producer"
1932/1933,Mister Mugg ,"Warren Doane, Producer [Third]"
1932/1933,A Preferred List ,"Louis Brock, Producer [Second]"
1932/1933,So This Is Harris ,"Louis Brock, Producer"
1932/1933,Krakatoa ,"Joe Rock, Producer"
1932/1933,Menu ,"Pete Smith, Producer [tied for 2nd]"
1932/1933,The Sea ,Educational [tied for 2nd]
1932/1933,A Farewell to Arms ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1932/1933,42nd Street ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1932/1933,Gold Diggers of 1933 ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]"
1932/1933,I Am a Fugitive from a Chain Gang ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1932/1933,Lady for a Day ,Robert Riskin [Second]
1932/1933,Little Women ,"Victor Heerman, Sarah Y. Mason"
1932/1933,State Fair ,"Paul Green, Sonya Levien [Third]"
1932/1933,One Way Passage ,Robert Lord
1932/1933,The Prizefighter and the Lady ,Frances Marion [Second]
1932/1933,Rasputin and the Empress ,Charles MacArthur [Third]
1934,Clark Gable,It Happened One Night
1934,Frank Morgan,The Affairs of Cellini
1934,William Powell,The Thin Man
1934,Claudette Colbert,It Happened One Night
1934,Bette Davis,Of Human Bondage
1934,Grace Moore,One Night of Love
1934,Norma Shearer,The Barretts of Wimpole Street
1934,The Affairs of Cellini ,Richard Day [Third]
1934,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [Second]"
1934,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
1934,Cleopatra ,Cullen Tate [Second]
1934,Imitation of Life ,Scott Beal [Third]
1934,Viva Villa! ,John Waters
1934,The Affairs of Cellini ,Charles Rosher [Third]
1934,Cleopatra ,Victor Milner
1934,Operator 13 ,George Folsey [Second]
1934,It Happened One Night ,Frank Capra
1934,One Night of Love ,Victor Schertzinger [Third]
1934,The Thin Man ,W. S. Van Dyke [Second]
1934,Cleopatra ,Anne Bauchens [Third]
1934,Eskimo ,Conrad Nervig
1934,One Night of Love ,Gene Milford [Second]
